INFO  - 2017-08-01 12:27:14.644; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/poi-ooxml-schemas-3.10-beta2.jar' to classloader
INFO  - 2017-08-01 12:27:14.652; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-08-01 12:27:14.662; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2017-08-01 12:27:14.668; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2017-08-01 12:27:14.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/solr-cell-4.9.0.jar' to classloader
INFO  - 2017-08-01 12:27:14.700; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-08-01 12:27:15.149; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/solr.xml
INFO  - 2017-08-01 12:27:15.430; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr
INFO  - 2017-08-01 12:27:15.441; org.apache.solr.core.CoreContainer; New CoreContainer 1201173334
INFO  - 2017-08-01 12:27:15.442; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-08-01 12:27:15.455; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-08-01 12:27:15.455; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-08-01 12:27:15.459; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-08-01 12:27:15.459; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-08-01 12:27:15.459; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-08-01 12:27:15.460; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-08-01 12:27:15.460; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-08-01 12:27:15.460; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-08-01 12:27:15.460; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-08-01 12:27:15.553; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-08-01 12:27:15.554; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-08-01 12:27:15.555; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-08-01 12:27:15.581; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr
INFO  - 2017-08-01 12:27:15.654; org.apache.solr.core.CorePropertiesLocator; Found core mindliner_core_dev in /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/
INFO  - 2017-08-01 12:27:15.703; org.apache.solr.core.CorePropertiesLocator; Found core mindliner_core in /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/
INFO  - 2017-08-01 12:27:15.704; org.apache.solr.core.CorePropertiesLocator; Found 2 core definitions
INFO  - 2017-08-01 12:27:15.707; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/'
INFO  - 2017-08-01 12:27:15.707; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/'
INFO  - 2017-08-01 12:27:15.783; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
